,name,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,company,age
0,Maruti Swift,450000,145500,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,190.0,5,Maruti,8
1,Skoda Rapid,370000,120000,Diesel,Individual,Manual,Second Owner,21.14,1498,103.52,250.0,5,Skoda,8
2,Honda City,158000,140000,Petrol,Individual,Manual,Third Owner,17.7,1497,78.0,12.7,5,Honda,16
3,Hyundai i20,225000,127000,Diesel,Individual,Manual,First Owner,23.0,1396,90.0,22.4,5,Hyundai,12
4,Maruti Swift,130000,120000,Petrol,Individual,Manual,First Owner,16.1,1298,88.2,11.5,5,Maruti,15
5,Hyundai Xcent,440000,45000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,113.75,5,Hyundai,5
6,Maruti Wagon,96000,175000,LPG,Individual,Manual,First Owner,17.3,1061,57.5,7.8,5,Maruti,15
7,Maruti 800,45000,5000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,59.0,4,Maruti,21
8,Toyota Etios,350000,90000,Diesel,Individual,Manual,First Owner,23.59,1364,67.1,170.0,5,Toyota,11
9,Ford Figo,200000,169000,Diesel,Individual,Manual,First Owner,20.0,1399,68.1,160.0,5,Ford,9
10,Renault Duster,500000,68000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,248.0,5,Renault,8
11,Maruti Zen,92000,100000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,78.0,5,Maruti,17
12,Maruti Swift,280000,140000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,190.0,5,Maruti,13
13,Maruti Wagon,180000,90000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,84.0,5,Maruti,13
14,Mahindra KUV,400000,40000,Petrol,Individual,Manual,First Owner,18.15,1198,82.0,115.0,5,Mahindra,6
15,Maruti Ertiga,778000,70000,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,200.0,7,Maruti,6
16,Hyundai i20,500000,53000,Diesel,Individual,Manual,Second Owner,23.0,1396,90.0,22.4,5,Hyundai,10
17,Maruti Alto,150000,80000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62.0,5,Maruti,20
18,Hyundai i20,680000,100000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,219.7,5,Hyundai,6
19,Mahindra Verito,174000,100000,Diesel,Individual,Manual,Second Owner,21.0,1461,64.1,160.0,5,Mahindra,11
20,Honda WR-V,950000,50000,Diesel,Individual,Manual,First Owner,25.5,1498,98.6,200.0,5,Honda,5
21,Maruti Swift,525000,40000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,190.0,5,Maruti,7
22,Maruti SX4,600000,72000,Diesel,Individual,Manual,First Owner,21.5,1248,88.8,200.0,5,Maruti,10
23,Tata Tigor,500000,35000,Petrol,Individual,Manual,First Owner,20.3,1199,83.81,114.0,5,Tata,4
24,Maruti Baleno,575000,45000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,115.0,5,Maruti,6
25,Maruti Alto,275000,28000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,69.0,5,Maruti,5
26,Chevrolet Enjoy,300000,70000,Diesel,Individual,Manual,First Owner,18.2,1248,73.8,172.5,7,Chevrolet,9
27,Maruti Wagon,220000,120000,Petrol,Individual,Manual,First Owner,18.9,1061,67.0,84.0,5,Maruti,13
28,Maruti Omni,254999,25000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,59.0,8,Maruti,4
29,Maruti Vitara,670000,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200.0,5,Maruti,5
30,Maruti Omni,150000,35000,Petrol,Individual,Manual,Second Owner,14.0,796,35.0,6.1,5,Maruti,10
31,Hyundai i20,730000,2388,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,114.7,5,Hyundai,4
32,Maruti Vitara,650000,16200,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200.0,5,Maruti,5
33,Maruti Alto,330000,10000,CNG,Individual,Manual,Second Owner,33.44,796,40.3,60.0,4,Maruti,3
34,Maruti Alto,366000,15000,Petrol,Individual,Manual,First Owner,23.95,998,67.1,90.0,5,Maruti,3
35,Hyundai Verna,1149000,5000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,151.0,5,Hyundai,3
36,Datsun GO,150000,42000,Petrol,Individual,Manual,First Owner,20.63,1198,67.0,104.0,5,Datsun,6
37,Tata Safari,425000,60000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.03,320.0,7,Tata,11
38,Maruti 800,150000,76000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,59.0,4,Maruti,10
39,Jeep Compass,2100000,5000,Petrol,Individual,Automatic,First Owner,16.0,1368,160.77,250.0,5,Jeep,3
40,Honda City,925000,28900,Petrol,Dealer,Manual,First Owner,17.8,1497,117.3,145.0,5,Honda,4
41,Honda City,425000,86300,Petrol,Dealer,Manual,First Owner,16.8,1497,116.3,146.0,5,Honda,9
42,Maruti Swift,675000,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197,83.14,115.0,5,Maruti,4
43,Maruti Vitara,819999,32600,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,200.0,5,Maruti,4
